timeStamp,elapsed,threadName,success,bytes,Latency,IdleTime,Connect
1474979736563,1949,request threads 1-5,true,400505,1949,0,0
1474979736608,1921,request threads 1-20,true,400509,1921,0,0
1474979736903,1640,request threads 1-1,true,400509,1640,0,0
1474979737188,1374,request threads 1-14,true,400507,1374,0,0
1474979736851,1896,request threads 1-11,true,400507,1896,0,0
1474979737205,1729,request threads 1-6,true,400505,1729,0,0
1474979737046,1934,request threads 1-7,true,400505,1934,0,0
1474979736987,2010,request threads 1-19,true,400511,2005,0,1
1474979737587,1410,request threads 1-17,true,400509,1410,0,0
1474979738021,1317,request threads 1-18,true,400511,1317,0,0
1474979737568,1903,request threads 1-2,true,400511,1903,0,1
1474979738346,1143,request threads 1-3,true,400505,1142,0,0
1474979737332,2172,request threads 1-16,true,400507,2172,0,1
1474979737568,1986,request threads 1-13,true,400507,1986,0,0
1474979738263,1470,request threads 1-12,true,400509,1464,0,0
1474979738081,1652,request threads 1-15,true,400509,1652,0,0
1474979738374,1480,request threads 1-10,true,400505,1480,0,0
1474979738934,1141,request threads 1-6,true,400505,1135,0,1
1474979738081,1994,request threads 1-4,true,400509,1993,0,0
1474979738980,1115,request threads 1-7,true,400511,1115,0,1
1474979738512,1673,request threads 1-9,true,400507,1672,0,0
1474979738445,1768,request threads 1-8,true,400511,1763,0,1
1474979738512,1701,request threads 1-5,true,400505,1701,0,1
1474979738563,1817,request threads 1-14,true,400509,1816,0,0
1474979738544,1854,request threads 1-1,true,400509,1854,0,0
1474979738998,1520,request threads 1-19,true,400507,1513,0,0
1474979738530,1988,request threads 1-20,true,400509,1987,0,0
1474979738747,1938,request threads 1-11,true,400505,1938,0,1
1474979739733,1121,request threads 1-15,true,400511,1116,0,0
1474979738998,1856,request threads 1-17,true,400507,1856,0,0
1474979739504,1477,request threads 1-16,true,400507,1477,0,0
1474979739339,1800,request threads 1-18,true,400511,1794,0,0
1474979739554,1585,request threads 1-13,true,400505,1584,0,1
1474979739471,2158,request threads 1-2,true,400509,2156,0,0
1474979739489,2140,request threads 1-3,true,400509,2105,0,0
1474979739733,1896,request threads 1-12,true,400509,1878,0,0
1474979740095,1655,request threads 1-7,true,400507,1640,0,0
1474979740518,1232,request threads 1-20,true,400509,1231,0,0
1474979740075,1709,request threads 1-4,true,400509,1709,0,0
1474979739855,1999,request threads 1-10,true,400509,1998,0,0
1474979740185,1790,request threads 1-9,true,400513,1750,0,0
1474979740213,1762,request threads 1-5,true,400507,1742,0,0
1474979740075,1900,request threads 1-6,true,400505,1900,0,0
1474979740685,1437,request threads 1-11,true,400511,1437,0,0
1474979740213,1958,request threads 1-8,true,400507,1958,0,0
1474979740981,1293,request threads 1-16,true,400511,1293,0,0
1474979740380,1924,request threads 1-14,true,400507,1923,0,0
1474979740398,1936,request threads 1-1,true,400513,1936,0,0
1474979740854,1504,request threads 1-15,true,400507,1504,0,1
1474979740854,1523,request threads 1-17,true,400509,1523,0,0
1474979740518,1999,request threads 1-19,true,400509,1999,0,0
1474979741628,1243,request threads 1-3,true,400507,1243,0,0
1474979741138,1893,request threads 1-13,true,400511,1893,0,0
1474979741974,1486,request threads 1-9,true,400505,1486,0,0
1474979741749,1738,request threads 1-7,true,400509,1737,0,0
1474979741628,1979,request threads 1-12,true,400507,1973,0,0
1474979741853,1754,request threads 1-10,true,400507,1754,0,0
1474979741628,2009,request threads 1-2,true,400505,2008,0,0
1474979741138,2499,request threads 1-18,true,400507,2493,0,0
1474979741974,1693,request threads 1-5,true,400507,1692,0,1
1474979741783,1906,request threads 1-4,true,400507,1906,0,0
1474979741749,1965,request threads 1-20,true,400509,1964,0,0
1474979741974,1808,request threads 1-6,true,400511,1802,0,1
1474979742121,1661,request threads 1-11,true,400511,1661,0,0
1474979742333,1588,request threads 1-1,true,400509,1587,0,0
1474979742171,1778,request threads 1-8,true,400511,1778,0,0
1474979742273,1763,request threads 1-16,true,400505,1763,0,0
1474979742303,1733,request threads 1-14,true,400505,1727,0,0
